198845129, 70736383, 52313869, 53898684, 55725540, 41336907, 36725291, 56700976, 52550778, 50398919, 
195335956, 68273634, 45734704, 59887711, 75680699, 35596335, 43147941, 41766679, 31601369, 33530003, 
196436689, 63102243, 44086599, 52094492, 52988249, 49023645, 48909039, 43352778, 34275798, 41578520, 
167997681, 55412511, 41398486, 46232044, 51862287, 49848980, 37636581, 47969525, 31199392, 31522684, 
156477622, 59508827, 33763919, 37837570, 43447713, 39803836, 36066733, 37877767, 32183808, 35287155, 
146450865, 64220081, 37708852, 37551054, 45956220, 40590257, 39003730, 38388363, 31278077, 35379524, 
168734496, 68566991, 41939444, 53523648, 48123473, 36154399, 38077473, 48147421, 39342845, 35420150, 
154073886, 61311308, 34562314, 39395016, 46495468, 36581606, 33299508, 44538609, 32774371, 32960820, 
136591313, 60688244, 35639526, 38972941, 50748297, 36230518, 32820984, 37890597, 32843221, 34770999, 
148296538, 56603047, 36252327, 40091206, 53902533, 37716977, 40030909, 48567786, 34316851, 40199825, 
162690303, 52672654, 36602988, 41377105, 42271289, 38891690, 35668177, 34085928, 35749856, 34620900, 
199546022, 66689245, 44798611, 47565410, 57974473, 44140910, 38143328, 45508486, 36810390, 49918685, 
213514292, 67061288, 40647987, 56671469, 50620862, 46060990, 41621711, 49763454, 37650265, 41267630, 
193090446, 67685635, 49133120, 55793534, 53403910, 46539941, 50541749, 65011634, 34643992, 31841272, 
